content,content_clean,sentimen
Bagus,bagus,POSITIVE
Dana mmg keren mantap.,keren mantap,POSITIVE
Saya ngajuin upgrade dana premium krna ktp saya buram jdi ga bisa verifikasi..trus coba lewat email di suruh nunggu 3 hri .ini udh 3 hri lebih msih gitu² doang saldo sya d dana jdi ga bisa d apa²in.. gmna ini solusi nya,ngajuin upgrade premium ktp buram tidak verifikasi trus coba email suruh nunggu hri hri msih gitu doang saldo sya tidak apain solusi,NEGATIVE
Kocak mana diskon nya ml malah eror segala kaga ikhlas ngasih diskon nya,kocak diskon ml error tidak ikhlas ngasih diskon,NEGATIVE
Saldo hilang karena no lama Hilang ganti no saldonya gk ada sama sekali dana tidak bertanggung jawab Buktinya saldo saya gk ada !!! Saldo lama saya 1800.000,saldo hilang no hilang ganti no saldo tidak tidak tanggung bukti saldo tidak saldo,NEGATIVE
mayan,lumayan,POSITIVE
Udah gua hapus dana ya. ilang ya udah 1 juta lebih duwit gua.mf dana sayah buka orang kaya itu uang keringat sayah uang halal,hapus ilang juta uang maaf buka orang kaya uang keringat uang halal,NEGATIVE
"TOLONG UNTUK SISTEM KEAMANAN DI PERBAIKI. KALAU 1 ATAU 2 ORNG YG KE HACK WAJAR, MUNGKIN KETELEDORAN PENGGUNA. TAPI KALAU SUDAH BANYAK YG TERKENA HACK. BERARTI ADA YG SALAH DENGAN SISTEM KEAMANAN DANA",tolong sistem aman baik orang hack wajar teledor guna kena hack salah sistem aman,NEUTRAL
mempermudah transfer,mudah transfer,POSITIVE
baru yobain semoga aman sentosa tidak pembobolan apk sebelah,yobain moga aman sentosa tidak bobol belah,NEUTRAL
kok gx bisa keridit,gx keridit,NEGATIVE
sangat puas,puas,POSITIVE
sangat memuaskan,muas,POSITIVE
ookeeee,ookeeee,POSITIVE
Hati hati dengan aplikasi ini,hati hati,POSITIVE
Mohon maaf ini knpa jadi gk bisa jual emas nya..knpa bacaan nya tejadi kesalahan Mulu coba lagi...berulang ulang lagi itu.udh 1 Minggu saya coba tetep gk bisa...bagai mna ini...sudah jadi semakin jelek ini apk dana skrng gk kyk Tahun. Tahun lalu,mohon maaf knpa tidak jual emas knpa baca tejadi salah coba ulang ulang minggu coba tetep tidak mna jelek skrng tidak kyk,NEGATIVE
"akun saya di nomor lama di bekukan, di pindah akun premium saldo tidak otomatis masuk ke akun baru, jelas2 sudah data saya.. Saldo 15jt hangus tertinggal di akun yang tidak bisa di akses dan tidak bisa di pindahkan uangnya. Hubungi SC bilangnya di tindak Seharusnya penanganan langsung bisa di proses Aplikasi asuuu rumit sekali.. Lama2 di hapus playsote #DANA",akun nomor beku pindah akun premium saldo tidak otomatis masuk akun data saldo jt hangus tinggal akun tidak akses tidak pindah uang hubung sc bilang tindak tangan langsung proses asuuu rumit hapus playsote,NEGATIVE
bgus bbget,bgus bbget,NEGATIVE
fast,fast,POSITIVE
"Kembalikan uang Rp 27.000 saya. Hanya gara"" KTP kabur sampe gak bisa upgrade, padahal nomor KTP jelas Saya jadi gak bisa transaksi. Kalau online pakai nomor KTP saja bisa terbuka identitas saya. Kembalikan saja uang saya, itu bukan uang nenek moyang kalian biarpun sedikit",kembali uang rp gara ktp kabur sampe tidak upgrade nomor ktp tidak transaksi online pakai nomor ktp buka identitas kembali uang bukan uang nenek moyang biarpun,NEGATIVE
mohon dipertahankan kernirjanya,mohon tahan kernirjanya,NEGATIVE
Aplikasi taiiiiiii upgrade ke premium terlalu lama sehingga saldo gak bisa terpakai,taiiiiiii upgrade premium saldo tidak pakai,NEUTRAL
Saldo Saya tiba tiba hilang sendiri ga aman naroh di dana,saldo hilang tidak aman naroh,NEUTRAL
Susahh bgt buat masuk aja masak dh pakai 3nomer masih aja gk bisa,susahh banget masuk masak dh pakai nomer tidak,NEUTRAL
Kenapa kode verivikasi saya tidak pernah kekirim padahal saya sudah memencet mengirim kode otp ke watshap tapi kode otp tidak pernah muncul,kode verivikasi tidak kirim pencet kirim kode otp watshap kode otp tidak muncul,NEGATIVE
biar 🌟 yg bicara,biar bicara,NEUTRAL
mantapppppp,mantapppppp,POSITIVE
Mau upgrade ke premium malah di persulit. Padahal udh ga burem masih aja burem hasil foto. Kmrn sempat berhasil tapi pas coba kirim dana malah suruh upgrade lagi. Bikin capek aja. Untung ga ngirim dalam jumlah banyak kmrn jadinya ga rugi2 bgt,upgrade premium sulit tidak burem burem hasil foto kmrn hasil pas coba kirim suruh upgrade bikin capek untung tidak ngirim kmrn tidak rugi banget,NEGATIVE
mntap,mntap,POSITIVE
apk yg bagus,bagus,POSITIVE
Tidak bisa log in...,tidak log in,NEGATIVE
Aplikasi yang sangat membantu,bantu,POSITIVE
sangat membantu,bantu,POSITIVE
Mohon dibantu ya kak... Q gk bisa upgrade ke dana premium... Sdh dicoba berkali²...,mohon bantu tidak upgrade premium coba kali,NEUTRAL
Ini kenapa saldo saya semua habis padahal tidak di pakai ! Dan ada riwayat ke buka lapak..?? Punya apk nya juga ngga !,saldo habis tidak pakai riwayat buka lapak ngga,NEGATIVE
Kenapa tidak bisa di update apk nya?,tidak update,NEGATIVE
mantap,mantap,POSITIVE
Aplikasi perampok,rampok,NEGATIVE
Top up ndak masuk masuk,top up ndak masuk masuk,NEUTRAL
Saya sangat senang sekali aplikasi dana ini membantu sekali masalah saya .saya kasih bitang 5,senang bantu kasih bitang,POSITIVE
